Company,Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
Tata Consultancy Services Ltd,TCS.NS,2015-02-12 00:00:00+05:30,1239.9000244140625,1239.9000244140625,1223.5,1231.074951171875,975.8176879882812,3107980,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-02-13 00:00:00+05:30,1235.0,1273.875,1230.125,1269.375,1006.1759033203125,4158326,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-02-16 00:00:00+05:30,1280.0,1297.5,1277.5,1292.4000244140625,1024.42724609375,2364392,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-02-18 00:00:00+05:30,1292.5250244140625,1321.5,1282.625,1317.824951171875,1044.5804443359375,2660014,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-02-19 00:00:00+05:30,1318.0,1343.6500244140625,1317.5,1340.5250244140625,1062.573486328125,2618002,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-02-20 00:00:00+05:30,1349.4000244140625,1349.4000244140625,1321.125,1337.7750244140625,1060.3944091796875,1801588,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-02-23 00:00:00+05:30,1335.5,1361.0,1335.5,1348.324951171875,1068.7564697265625,1614892,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-02-24 00:00:00+05:30,1347.0,1365.0,1339.5,1352.375,1071.9664306640625,2199922,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-02-25 00:00:00+05:30,1355.0,1361.0,1333.925048828125,1336.0999755859375,1059.066162109375,1767994,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-02-26 00:00:00+05:30,1339.5,1346.375,1312.675048828125,1328.2249755859375,1052.823974609375,1991994,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-02-27 00:00:00+05:30,1329.7249755859375,1337.875,1308.1500244140625,1331.175048828125,1055.1624755859375,2877376,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-03-02 00:00:00+05:30,1339.8499755859375,1354.4749755859375,1326.2750244140625,1334.699951171875,1057.95654296875,2176038,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-03-03 00:00:00+05:30,1341.0,1395.0,1338.074951171875,1388.0,1100.2047119140625,3424308,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-03-04 00:00:00+05:30,1394.0,1406.050048828125,1357.824951171875,1373.0,1088.315185546875,3862994,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-03-05 00:00:00+05:30,1375.0,1385.3499755859375,1340.5250244140625,1348.2249755859375,1068.6771240234375,2173514,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-03-09 00:00:00+05:30,1320.0,1339.9000244140625,1305.0,1323.4000244140625,1048.999755859375,2883174,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-03-10 00:00:00+05:30,1324.449951171875,1339.125,1297.625,1321.3499755859375,1047.3746337890625,3037052,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-03-11 00:00:00+05:30,1321.0,1329.9749755859375,1298.9000244140625,1303.2750244140625,1033.04736328125,2240200,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-03-12 00:00:00+05:30,1311.949951171875,1312.449951171875,1295.050048828125,1309.5250244140625,1038.0013427734375,1827636,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-03-13 00:00:00+05:30,1319.0,1319.9749755859375,1287.5,1291.175048828125,1023.4558715820312,1586838,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-03-16 00:00:00+05:30,1292.5999755859375,1305.0,1276.0,1281.1500244140625,1015.5099487304688,1556296,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-03-17 00:00:00+05:30,1291.25,1303.3499755859375,1278.875,1291.8499755859375,1023.9912109375,1267318,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-03-18 00:00:00+05:30,1295.4749755859375,1299.7249755859375,1275.8499755859375,1279.675048828125,1014.340576171875,1255170,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-03-19 00:00:00+05:30,1288.0,1302.925048828125,1284.050048828125,1298.125,1028.9647216796875,2448964,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-03-20 00:00:00+05:30,1298.0,1309.0,1289.425048828125,1305.4749755859375,1034.7913818359375,1963908,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-03-23 00:00:00+05:30,1308.0,1315.5,1303.0,1308.574951171875,1037.2481689453125,1566608,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-03-24 00:00:00+05:30,1315.0,1318.5,1291.050048828125,1295.6500244140625,1027.0029296875,2394878,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-03-25 00:00:00+05:30,1295.699951171875,1307.0,1272.5999755859375,1286.875,1020.0475463867188,2224858,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-03-26 00:00:00+05:30,1276.6500244140625,1293.3499755859375,1250.5,1256.550048828125,996.0104370117188,3091642,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-03-27 00:00:00+05:30,1265.5,1285.949951171875,1252.050048828125,1257.4000244140625,996.684326171875,2751776,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-03-30 00:00:00+05:30,1262.5,1284.949951171875,1260.0,1282.074951171875,1016.2429809570312,1339006,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-03-31 00:00:00+05:30,1284.7249755859375,1284.7249755859375,1260.5,1276.9749755859375,1012.2003173828125,2427028,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-04-01 00:00:00+05:30,1279.0,1281.800048828125,1261.125,1271.324951171875,1007.7218627929688,2075758,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-04-06 00:00:00+05:30,1279.0,1281.449951171875,1250.050048828125,1273.6500244140625,1009.5650634765625,1568542,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-04-07 00:00:00+05:30,1281.2249755859375,1299.5,1272.0,1292.5,1024.50634765625,1886922,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-04-08 00:00:00+05:30,1297.0,1328.25,1295.425048828125,1320.699951171875,1046.859375,1652134,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-04-09 00:00:00+05:30,1329.5,1343.7249755859375,1317.574951171875,1332.2750244140625,1056.0343017578125,2544450,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-04-10 00:00:00+05:30,1324.25,1335.4000244140625,1314.0,1326.875,1051.7537841796875,1815544,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-04-13 00:00:00+05:30,1332.0,1332.5,1314.0,1327.75,1052.4473876953125,1308642,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-04-15 00:00:00+05:30,1327.3499755859375,1356.949951171875,1304.699951171875,1313.875,1041.44970703125,2913934,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-04-16 00:00:00+05:30,1313.4749755859375,1313.5,1285.675048828125,1291.4000244140625,1023.634521484375,3217570,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-04-17 00:00:00+05:30,1278.550048828125,1280.0,1235.0,1237.425048828125,980.85107421875,9668742,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-04-20 00:00:00+05:30,1240.0250244140625,1241.949951171875,1212.425048828125,1214.4000244140625,962.6000366210938,2890722,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-04-21 00:00:00+05:30,1214.4000244140625,1226.0,1200.5,1213.5250244140625,961.9066772460938,2546032,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-04-22 00:00:00+05:30,1215.75,1236.5,1203.7750244140625,1222.550048828125,969.0602416992188,4186812,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-04-23 00:00:00+05:30,1236.0,1239.9000244140625,1215.8499755859375,1228.625,973.875732421875,4342990,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-04-24 00:00:00+05:30,1227.6500244140625,1257.0,1223.7750244140625,1246.5250244140625,988.0642700195312,3625158,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-04-27 00:00:00+05:30,1249.75,1260.0,1243.0,1250.0999755859375,990.897705078125,2733052,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-04-28 00:00:00+05:30,1255.0,1255.0,1227.550048828125,1247.5,988.8368530273438,3088298,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-04-29 00:00:00+05:30,1242.0,1247.5,1225.5250244140625,1243.6500244140625,985.7852172851562,2019620,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-04-30 00:00:00+05:30,1240.0,1245.0,1213.550048828125,1231.8499755859375,976.4318237304688,3738054,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-05-04 00:00:00+05:30,1245.5,1252.4000244140625,1228.5999755859375,1240.7750244140625,983.5060424804688,1890630,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-05-05 00:00:00+05:30,1250.5,1268.2249755859375,1250.0,1258.925048828125,997.8932495117188,3255070,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-05-06 00:00:00+05:30,1257.5,1257.5,1227.9000244140625,1231.5250244140625,976.1744384765625,3394406,0.0,0.0
Tata Consultancy Services Ltd,TCS.NS,2015-05-07 00:00:00+05:30,1232.449951171875,1276.875,1226.8499755859375,1272.625,1008.7523803710938,3205028,0.0,0.0
